player_name	team	year	G	PO	A	E
陳俊秀	Lamigo	19	86	648	46	3
朱育賢	Lamigo	19	44	298	15	3
梁家榮	Lamigo	19	3	20	2	1
余德龍	Lamigo	19	1	0	0	0
林立	Lamigo	19	11	9	22	0
郭永維	Lamigo	19	4	5	5	0
葉竹軒	Lamigo	19	3	1	5	1
楊瑞承	Lamigo	19	1	1	3	0
郭嚴文	Lamigo	19	113	215	329	11
林立	Lamigo	19	84	51	153	19
梁家榮	Lamigo	19	34	9	33	1
林津平	Lamigo	19	32	10	30	3
余德龍	Lamigo	19	5	3	1	2
黃敬瑋	Lamigo	19	2	1	2	1
郭永維	Lamigo	19	0	0	0	0
林承飛	Lamigo	19	83	105	205	13
郭永維	Lamigo	19	5	3	5	0
林立	Lamigo	19	2	1	5	0
藍寅倫	Lamigo	19	83	153	11	3
鍾承祐	Lamigo	19	24	30	0	2
陽耀勳	Lamigo	19	18	27	0	0
余德龍	Lamigo	19	17	26	0	0
Zhi-Yu Zhan	Lamigo	19	11	8	0	0
Yi-Xun Zhang	Lamigo	19	8	3	0	0
葉竹軒	Lamigo	19	6	16	2	0
黃敬瑋	Lamigo	19	5	10	0	1
Roger Bernadina	Lamigo	19	3	3	0	0
朱育賢	Lamigo	19	2	3	0	0
陳晨威	Lamigo	19	1	4	0	1
Jin Cheng	Lamigo	19	1	0	0	0
Dan Qiu	Lamigo	19	1	0	0	0
林智勝	兄弟	19	89	690	52	6
蘇緯達	兄弟	19	24	112	12	3
Alex Liddi	兄弟	19	15	64	3	2
彭政閔	兄弟	19	12	61	4	0
Tao-Yu Zeng曾陶鎔?	兄弟	19	4	15	0	0
陳子鴻	兄弟	19	2	5	0	0
Eric Wood	兄弟	19	2	23	0	1
吳東融	兄弟	19	80	135	200	5
王威晨	兄弟	19	28	51	62	5
岳東華	兄弟	19	18	21	31	1
陳偉漢	兄弟	19	15	10	30	4
陳江和	兄弟	19	11	9	16	0
張志強	兄弟	19	7	8	17	1
潘志芳	兄弟	19	6	5	7	0
王威晨	兄弟	19	96	70	140	13
Alex Liddi	兄弟	19	15	14	20	2
許基宏	兄弟	19	12	5	12	0
岳東華	兄弟	19	10	8	11	1
蘇緯達	兄弟	19	7	1	10	1
Tao-Yu Zeng曾陶鎔?	兄弟	19	3	3	1	1
張志強	兄弟	19	2	0	2	0
王勝偉	兄弟	19	106	166	272	10
陳偉漢	兄弟	19	8	9	23	1
吳東融	兄弟	19	7	4	8	1
張志強	兄弟	19	6	7	6	0
江坤宇	兄弟	19	3	5	5	0
陳江和	兄弟	19	2	1	1	0
陳子豪	兄弟	19	103	170	9	4
張志豪	兄弟	19	102	208	2	3
Si-Qi Zhou 周思齊?	兄弟	19	43	64	1	0
詹子賢	兄弟	19	22	29	0	0
林書逸	兄弟	19	14	6	0	1
岳東華	兄弟	19	13	15	3	0
陳子鴻	兄弟	19	4	4	0	0
Alex Liddi	兄弟	19	4	8	0	0
Tao-Yu Zeng曾陶鎔?	兄弟	19	4	2	0	0
陳文杰	兄弟	19	1	0	0	0
林益全	富邦	19	95	704	58	10
范國宸	富邦	19	35	181	7	3
蔣智賢	富邦	19	6	27	3	0
高國麟	富邦	19	3	14	0	0
林威廷	富邦	19	1	12	0	0
王正棠	富邦	19	106	149	241	11
楊晉豪	富邦	19	16	15	17	1
林威廷	富邦	19	11	19	16	0
陳凱倫	富邦	19	10	11	17	1
于森旭	富邦	19	4	4	4	1
蔣智賢	富邦	19	3	8	5	1
Pin-Chieh Chen陳品捷?	富邦	19	1	1	2	1
石翔宇	富邦	19	1	0	0	1
蔣智賢	富邦	19	42	20	65	8
陳凱倫	富邦	19	30	19	42	2
林威廷	富邦	19	20	8	29	2
范國宸	富邦	19	17	6	23	2
高國麟	富邦	19	14	9	18	4
楊晉豪	富邦	19	13	7	18	5
于森旭	富邦	19	9	6	8	0
李宗賢	富邦	19	7	5	7	1
石翔宇	富邦	19	2	2	5	0
李宗賢	富邦	19	101	153	242	11
陳凱倫	富邦	19	16	19	26	1
石翔宇	富邦	19	11	7	27	0
張正偉	富邦	19	85	146	6	0
Kuo Hui Lo	富邦	19	38	46	4	0
陳品捷	富邦	19	29	50	1	1
胡金龍	富邦	19	22	42	0	0
高國麟	富邦	19	20	22	0	1
高孝儀	富邦	19	10	23	0	0
申皓瑋	富邦	19	5	10	0	0
張詠漢	富邦	19	4	5	1	0
林哲瑄	富邦	19	2	3	0	0
于森旭	富邦	19	2	3	1	0
張瑞麟	富邦	19	1	0	0	0
高國慶	統一	19	80	457	48	3
陳鏞基	統一	19	42	277	31	1
鄧志偉	統一	19	18	119	5	2
買嘉儀	統一	19	11	65	4	3
姚雨翔	統一	19	5	24	3	2
潘傑楷	統一	19	3	4	1	0
施冠宇	統一	19	2	11	1	1
林靖凱	統一	19	51	108	156	8
楊家維	統一	19	50	68	99	6
陳重廷	統一	19	20	29	37	4
陳傑憲	統一	19	13	16	37	4
潘傑楷	統一	19	11	13	25	2
Yi-Xuan Kai蔡奕玄?	統一	19	3	3	2	1
黃恩賜	統一	19	1	0	1	0
江亮緯	統一	19	1	1	0	0
郭阜林	統一	19	53	36	73	13
陳鏞基	統一	19	33	22	55	2
楊家維	統一	19	25	11	28	2
潘傑楷	統一	19	17	6	9	1
黃恩賜	統一	19	16	7	22	3
陳重廷	統一	19	12	7	4	1
林祖傑	統一	19	1	0	1	0
黃恩賜	統一	19	47	60	101	9
Yi-Xuan Kai蔡奕玄?	統一	19	17	13	28	5
楊家維	統一	19	10	15	17	5
林靖凱	統一	19	5	3	8	1
陳鏞基	統一	19	2	0	2	0
林安可	統一	19	29	43	3	1
陳重羽	統一	19	27	54	4	5
唐肇廷	統一	19	22	28	2	0
江亮緯	統一	19	16	22	1	2
朱元勤	統一	19	14	23	0	0
莊駿凱	統一	19	11	11	3	1
鄭鎧文	統一	19	9	15	0	1
林勝傑	統一	19	8	17	0	2
陳傑憲	統一	19	7	14	0	0
張偉聖	統一	19	7	14	1	2
Chang-Yong Fang	統一	19	4	0	0	0
郭阜林	統一	19	2	3	0	0
林祖傑	統一	19	2	0	0	0
羅國龍	統一	19	2	5	0	1
柯育民	統一	19	1	0	0	0
Wux-Iong Pan潘武雄?	統一	19	1	0	0	0
蘇智傑	統一	19	1	3	0	0
